Ticker,Signal_Date,Trade_Date,Signal_Close,FRD_Close_Pct,Entry_Open,Trade_High,Exit_Close,Roll3_Gain,Avg_Vol,Streak,FRD_Vol_Ratio,Actual_Exit,Stop_Hit,PnL_Pct,PnL_Pts,Is_Win
CWBR,2023-05-24,2023-05-25,3.62,0.296,3.43,3.5,2.79,1.0803,17453910,2,0.101,2.79,False,0.18658892128279886,0.6400000000000001,True
BMR,2023-05-26,2023-05-30,4.04,0.041,3.71,4.19,2.92,1.3218,17362729,3,0.073,4.1552,True,-0.12000000000000019,-0.4452000000000007,False
AHI,2023-06-13,2023-06-14,6.0,0.288,4.56,4.6,3.52,3.8387,18227906,2,0.145,3.52,False,0.22807017543859642,1.0399999999999996,True
YELL,2023-08-02,2023-08-03,3.27,0.632,3.4,4.6199,3.6,3.6258,138989221,3,0.344,3.808,True,-0.1200000000000001,-0.40800000000000036,False
MIRO,2023-11-01,2023-11-02,3.31,0.667,3.29,3.34,3.34,1.2828,2034490,2,0.093,3.34,False,-0.015197568389057697,-0.04999999999999982,False
CAPT,2023-11-28,2023-11-29,3.76,0.763,3.28,3.63,3.44,1.321,13294275,4,0.529,3.44,False,-0.04878048780487809,-0.16000000000000014,False
NEXI,2023-12-04,2023-12-05,4.07,0.485,3.7,3.75,3.46,1.3546,5685935,2,0.217,3.46,False,0.06486486486486492,0.2400000000000002,True
STTK,2023-12-15,2023-12-18,6.61,0.453,6.51,6.608,5.51,2.3897,28588189,2,0.259,5.51,False,0.15360983102918588,1.0,True
SIDU,2023-12-29,2024-01-02,8.81,0.468,8.66,8.72,6.97,1.2706,6864080,3,0.226,6.97,False,0.19515011547344116,1.6900000000000004,True
DTSS,2024-02-16,2024-02-20,9.1,0.779,8.94,10.4699,7.45,5.1905,33737307,2,0.033,10.0128,True,-0.1200000000000001,-1.0728000000000009,False
CPOP,2024-02-21,2024-02-22,6.22,0.29,6.36,8.0,6.62,3.4113,45096235,2,0.566,7.1232,True,-0.12000000000000005,-0.7632000000000003,False
VANI,2024-03-01,2024-03-04,3.09,0.191,3.0,3.01,2.47,1.8744,60040396,4,0.081,2.47,False,0.1766666666666666,0.5299999999999998,True
OCEA,2024-03-06,2024-03-07,4.04,0.214,3.9,5.75,5.27,1.02,54347255,4,0.153,4.368,True,-0.1200000000000001,-0.4680000000000004,False
AISP,2024-03-07,2024-03-08,5.5,0.602,5.62,6.96,6.8,2.3333,97368962,3,0.068,6.2944,True,-0.12000000000000005,-0.6744000000000003,False
OPGN,2024-03-27,2024-03-28,7.175,0.812,6.7,7.5,6.95,1.7517,2906600,2,0.114,6.95,False,-0.03731343283582089,-0.25,False
IBIO,2024-04-01,2024-04-02,3.35,0.495,2.92,3.25,2.86,1.913,75576135,2,0.076,2.86,False,0.02054794520547947,0.06000000000000005,True
VVPR,2024-04-04,2024-04-05,6.4,0.58,5.72,5.9951,5.69,4.3333,57973809,2,0.088,5.69,False,0.005244755244755133,0.02999999999999936,True
CADL,2024-04-08,2024-04-09,6.43,0.246,6.25,6.52,5.09,2.6743,81209529,4,0.204,5.09,False,0.18560000000000001,1.1600000000000001,True
TPET,2024-04-16,2024-04-17,9.758,0.266,7.786,7.786,6.8,1.1112,9402058,4,0.217,6.8,False,0.12663755458515283,0.9859999999999998,True
WISA,2024-04-18,2024-04-19,5.89,0.078,5.99,8.64,6.06,2.3657,94687451,2,0.18,6.7088,True,-0.12000000000000012,-0.7188000000000008,False
CTMX,2024-05-02,2024-05-03,4.5,0.642,4.62,5.06,4.43,1.795,74311294,3,0.229,4.43,False,0.04112554112554121,0.1900000000000004,True
SGBX,2024-05-06,2024-05-07,4.85,0.654,4.42,5.12,4.82,1.105,37161712,2,0.079,4.9504,True,-0.12000000000000005,-0.5304000000000002,False
MGRX,2024-05-22,2024-05-23,6.9,0.444,5.625,8.781,7.8,1.9114,6209025,2,0.286,6.3,True,-0.12000000000000012,-0.6750000000000007,False
BNTC,2024-04-22,2024-05-29,6.72,0.267,8.4,8.55,7.55,1.5169,1301265,2,0.097,7.55,False,0.10119047619047625,0.8500000000000005,True
SNGX,2024-07-11,2024-07-12,7.65,0.598,7.26,8.25,7.43,2.825,51102037,2,0.054,8.1312,True,-0.12,-0.8712,False
QURE,2024-07-11,2024-07-12,8.91,0.206,9.19,9.7776,8.72,1.3571,42061593,2,0.339,8.72,False,0.05114254624591936,0.46999999999999886,True
TKLF,2024-07-17,2024-07-18,5.711,0.494,6.2,8.533,7.097,1.3112,11032232,2,0.097,6.944,True,-0.1200000000000001,-0.7440000000000007,False
AIU,2024-07-31,2024-08-01,5.0,0.424,4.73,5.15,4.5,1.5641,6060418,2,0.098,4.5,False,0.04862579281183941,0.23000000000000043,True
LUMN,2024-08-08,2024-08-09,5.38,0.301,5.25,5.85,5.57,1.0772,236450623,2,0.641,5.57,False,-0.06095238095238101,-0.3200000000000003,False
MGOL,2024-08-12,2024-08-13,5.48,0.49,5.0,5.26,5.02,1.2551,33283289,2,0.132,5.02,False,-0.003999999999999915,-0.019999999999999574,False
RVNC,2024-08-13,2024-08-14,6.59,1.0,6.58,6.6,6.58,1.2339,26854337,3,0.582,6.58,False,0.0,0.0,False
VRAX,2024-08-20,2024-08-21,3.56,0.0,3.51,6.4,6.4,1.5612,35464968,2,0.115,3.9312,True,-0.12000000000000008,-0.42120000000000024,False
GDC,2024-08-23,2024-08-26,5.45,0.079,5.55,6.6,5.75,2.1686,55484014,3,0.625,6.216,True,-0.12000000000000006,-0.6660000000000004,False
PRTG,2024-08-27,2024-08-28,6.39,0.233,6.39,6.65,6.65,1.3664,17231550,4,0.049,6.65,False,-0.040688575899843614,-0.2600000000000007,False
UXIN,2024-10-01,2024-10-02,6.02,0.777,6.44,6.58,5.55,1.1272,25760406,3,0.23,5.55,False,0.13819875776397522,0.8900000000000006,True
BURU,2024-10-10,2024-10-11,5.1397,0.286,5.3393,5.8383,5.1896,1.3038,11931736,2,0.34,5.1896,False,0.02803738317756996,0.14969999999999928,True
ATNF,2024-10-17,2024-10-18,4.33,0.469,4.52,8.0,5.03,2.6695,31053711,2,0.107,5.0624,True,-0.12000000000000016,-0.5424000000000007,False
PRQR,2024-10-18,2024-10-21,4.33,0.558,4.25,4.381,4.05,1.2205,20636340,2,0.108,4.05,False,0.047058823529411806,0.20000000000000018,True
VSTE,2024-11-05,2024-11-06,5.36,0.39,3.56,4.72,3.11,1.68,31939172,2,0.131,3.9872,True,-0.12000000000000013,-0.42720000000000047,False
CELU,2024-11-11,2024-11-12,3.42,0.197,3.39,4.0999,3.83,1.4783,18477699,2,0.06,3.7968,True,-0.12000000000000015,-0.4068000000000005,False
QUBT,2024-11-15,2024-11-18,3.1,0.838,2.99,3.0,2.39,1.2464,129383118,2,0.474,2.39,False,0.20066889632107024,0.6000000000000001,True
PDYN,2024-11-25,2024-11-26,4.41,0.094,4.24,7.366,7.21,1.2732,35659280,4,0.575,4.7488,True,-0.12000000000000019,-0.5088000000000008,False
CRNC,2024-11-25,2024-11-26,7.06,0.35,6.95,7.0,6.47,1.5035,33647780,2,0.186,6.47,False,0.0690647482014389,0.4800000000000004,True
PSTX,2024-11-27,2024-11-29,9.33,0.0,9.36,9.41,9.31,2.4176,11256845,3,0.326,9.31,False,0.005341880341880228,0.049999999999998934,True
ZENA,2024-11-27,2024-11-29,7.84,0.266,6.91,9.75,8.85,3.3799,67936102,4,0.107,7.7392,True,-0.12000000000000015,-0.829200000000001,False
SMTK,2024-11-27,2024-11-29,6.96,0.712,6.6,7.1,6.27,1.2452,3150594,3,0.129,6.27,False,0.05000000000000002,0.33000000000000007,True
SNTI,2024-12-03,2024-12-04,7.14,0.146,7.07,7.25,6.61,2.9016,45909639,3,0.159,6.61,False,0.06506364922206506,0.45999999999999996,True
PSQH,2024-12-04,2024-12-05,4.75,0.175,4.95,5.5798,4.3,1.3284,67183005,2,0.486,5.544,True,-0.12000000000000005,-0.5940000000000003,False
TARA,2024-12-06,2024-12-09,5.91,0.606,6.13,6.8799,6.67,1.0957,39359739,3,0.15,6.8656,True,-0.12000000000000012,-0.7356000000000007,False
MGX,2024-12-11,2024-12-12,3.95,0.0,4.02,4.43,3.86,1.1351,25245237,2,0.137,3.86,False,0.03980099502487555,0.1599999999999997,True
SIDU,2024-12-18,2024-12-19,4.55,0.254,4.58,5.5,4.93,2.1818,127871093,3,0.1,5.1296,True,-0.12000000000000016,-0.5496000000000008,False
MYSZ,2024-12-24,2024-12-26,4.17,0.585,3.98,4.4225,4.22,2.0889,41303752,3,0.013,4.22,False,-0.060301507537688384,-0.23999999999999977,False
CREV,2024-12-26,2024-12-27,8.07,0.628,7.66,9.45,8.24,2.1523,10211442,2,0.107,8.5792,True,-0.12,-0.9192,False
HOUR,2024-12-26,2024-12-27,3.58,0.626,3.77,3.77,2.82,1.8189,34549610,4,0.176,2.82,False,0.25198938992042447,0.9500000000000002,True
QSI,2024-12-30,2024-12-31,3.33,0.413,3.2,3.63,2.7,1.5615,141298699,2,0.679,3.584,True,-0.1200000000000001,-0.38400000000000034,False
INTZ,2024-12-31,2025-01-02,3.075,0.124,4.03,4.45,3.78,4.9363,112542395,2,0.14,3.78,False,0.0620347394540944,0.25000000000000044,True
